obsdh,obsdh,iqty
2006-01-01 01:00:00,2006-01-01 01시,42.8
2006-01-01 02:00:00,2006-01-01 02시,42.8
2006-01-01 03:00:00,2006-01-01 03시,42.8
2006-01-01 04:00:00,2006-01-01 04시,42.8
2006-01-01 05:00:00,2006-01-01 05시,42.8
2006-01-01 06:00:00,2006-01-01 06시,42.8
2006-01-01 07:00:00,2006-01-01 07시,42.8
2006-01-01 08:00:00,2006-01-01 08시,42.7
2006-01-01 09:00:00,2006-01-01 09시,42.7
2006-01-01 10:00:00,2006-01-01 10시,42.7
2006-01-01 11:00:00,2006-01-01 11시,42.7
2006-01-01 12:00:00,2006-01-01 12시,42.7
2006-01-01 13:00:00,2006-01-01 13시,42.7
2006-01-01 14:00:00,2006-01-01 14시,42.7
2006-01-01 15:00:00,2006-01-01 15시,42.7
2006-01-01 16:00:00,2006-01-01 16시,42.7
2006-01-01 17:00:00,2006-01-01 17시,42.7
2006-01-01 18:00:00,2006-01-01 18시,42.7
2006-01-01 19:00:00,2006-01-01 19시,42.7
2006-01-01 20:00:00,2006-01-01 20시,42.7
2006-01-01 21:00:00,2006-01-01 21시,42.7
2006-01-01 22:00:00,2006-01-01 22시,42.7
2006-01-01 23:00:00,2006-01-01 23시,42.7
2006-01-02 00:00:00,2006-01-02 00시,42.7
2006-01-02 01:00:00,2006-01-02 01시,42.7
2006-01-02 02:00:00,2006-01-02 02시,42.7
2006-01-02 03:00:00,2006-01-02 03시,42.7
2006-01-02 04:00:00,2006-01-02 04시,42.7
2006-01-02 05:00:00,2006-01-02 05시,42.7
2006-01-02 06:00:00,2006-01-02 06시,42.6
2006-01-02 07:00:00,2006-01-02 07시,42.6
2006-01-02 08:00:00,2006-01-02 08시,42.6
2006-01-02 09:00:00,2006-01-02 09시,42.6
2006-01-02 10:00:00,2006-01-02 10시,42.6
2006-01-02 11:00:00,2006-01-02 11시,42.6
2006-01-02 12:00:00,2006-01-02 12시,42.6
2006-01-02 13:00:00,2006-01-02 13시,42.6
2006-01-02 14:00:00,2006-01-02 14시,42.6
2006-01-02 15:00:00,2006-01-02 15시,42.6
2006-01-02 16:00:00,2006-01-02 16시,42.6
2006-01-02 17:00:00,2006-01-02 17시,42.6
2006-01-02 18:00:00,2006-01-02 18시,42.6
2006-01-02 19:00:00,2006-01-02 19시,42.6
2006-01-02 20:00:00,2006-01-02 20시,42.6
2006-01-02 21:00:00,2006-01-02 21시,42.6
2006-01-02 22:00:00,2006-01-02 22시,42.5
2006-01-02 23:00:00,2006-01-02 23시,42.5
2006-01-03 00:00:00,2006-01-03 00시,42.5
2006-01-03 01:00:00,2006-01-03 01시,42.5
2006-01-03 02:00:00,2006-01-03 02시,42.5
2006-01-03 03:00:00,2006-01-03 03시,42.5
2006-01-03 04:00:00,2006-01-03 04시,42.5
2006-01-03 05:00:00,2006-01-03 05시,42.5
2006-01-03 06:00:00,2006-01-03 06시,42.5
2006-01-03 07:00:00,2006-01-03 07시,42.5
2006-01-03 08:00:00,2006-01-03 08시,42.5
2006-01-03 09:00:00,2006-01-03 09시,42.5
2006-01-03 10:00:00,2006-01-03 10시,42.5
2006-01-03 11:00:00,2006-01-03 11시,42.5
2006-01-03 12:00:00,2006-01-03 12시,42.5
2006-01-03 13:00:00,2006-01-03 13시,42.5
2006-01-03 14:00:00,2006-01-03 14시,42.5
2006-01-03 15:00:00,2006-01-03 15시,42.5
2006-01-03 16:00:00,2006-01-03 16시,42.5
2006-01-03 17:00:00,2006-01-03 17시,42.5
2006-01-03 18:00:00,2006-01-03 18시,42.5
2006-01-03 19:00:00,2006-01-03 19시,42.5
2006-01-03 20:00:00,2006-01-03 20시,42.5
2006-01-03 21:00:00,2006-01-03 21시,42.5
2006-01-03 22:00:00,2006-01-03 22시,42.5
2006-01-03 23:00:00,2006-01-03 23시,42.5
2006-01-04 00:00:00,2006-01-04 00시,42.5
2006-01-04 01:00:00,2006-01-04 01시,42.4
2006-01-04 02:00:00,2006-01-04 02시,42.4
2006-01-04 03:00:00,2006-01-04 03시,42.4
2006-01-04 04:00:00,2006-01-04 04시,42.4
2006-01-04 05:00:00,2006-01-04 05시,42.4
2006-01-04 06:00:00,2006-01-04 06시,42.4
2006-01-04 07:00:00,2006-01-04 07시,42.4
2006-01-04 08:00:00,2006-01-04 08시,42.4
2006-01-04 09:00:00,2006-01-04 09시,42.4
2006-01-04 10:00:00,2006-01-04 10시,42.4
2006-01-04 11:00:00,2006-01-04 11시,42.4
2006-01-04 12:00:00,2006-01-04 12시,42.4
2006-01-04 13:00:00,2006-01-04 13시,42.4
2006-01-04 14:00:00,2006-01-04 14시,42.4
2006-01-04 15:00:00,2006-01-04 15시,42.4
2006-01-04 16:00:00,2006-01-04 16시,42.4
2006-01-04 17:00:00,2006-01-04 17시,42.4
2006-01-04 18:00:00,2006-01-04 18시,42.4
2006-01-04 19:00:00,2006-01-04 19시,42.4
2006-01-04 20:00:00,2006-01-04 20시,42.4
2006-01-04 21:00:00,2006-01-04 21시,42.4
2006-01-04 22:00:00,2006-01-04 22시,42.4
2006-01-04 23:00:00,2006-01-04 23시,42.4
2006-01-05 00:00:00,2006-01-05 00시,42.4
2006-01-05 01:00:00,2006-01-05 01시,42.4
2006-01-05 02:00:00,2006-01-05 02시,42.3
2006-01-05 03:00:00,2006-01-05 03시,42.3
2006-01-05 04:00:00,2006-01-05 04시,42.3
2006-01-05 05:00:00,2006-01-05 05시,42.3
2006-01-05 06:00:00,2006-01-05 06시,42.3
2006-01-05 07:00:00,2006-01-05 07시,42.3
2006-01-05 08:00:00,2006-01-05 08시,42.3
2006-01-05 09:00:00,2006-01-05 09시,42.3
2006-01-05 10:00:00,2006-01-05 10시,42.3
2006-01-05 11:00:00,2006-01-05 11시,42.3
2006-01-05 12:00:00,2006-01-05 12시,42.3
2006-01-05 13:00:00,2006-01-05 13시,42.3
2006-01-05 14:00:00,2006-01-05 14시,42.3
2006-01-05 15:00:00,2006-01-05 15시,42.3
2006-01-05 16:00:00,2006-01-05 16시,42.3
2006-01-05 17:00:00,2006-01-05 17시,42.3
2006-01-05 18:00:00,2006-01-05 18시,42.3
2006-01-05 19:00:00,2006-01-05 19시,42.3
2006-01-05 20:00:00,2006-01-05 20시,42.3
2006-01-05 21:00:00,2006-01-05 21시,42.3
2006-01-05 22:00:00,2006-01-05 22시,42.3
2006-01-05 23:00:00,2006-01-05 23시,42.3
2006-01-06 00:00:00,2006-01-06 00시,42.3
2006-01-06 01:00:00,2006-01-06 01시,42.3
2006-01-06 02:00:00,2006-01-06 02시,42.3
2006-01-06 03:00:00,2006-01-06 03시,42.2
2006-01-06 04:00:00,2006-01-06 04시,42.2
2006-01-06 05:00:00,2006-01-06 05시,42.2
2006-01-06 06:00:00,2006-01-06 06시,42.2
2006-01-06 07:00:00,2006-01-06 07시,42.2
2006-01-06 08:00:00,2006-01-06 08시,42.2
2006-01-06 09:00:00,2006-01-06 09시,42.2
2006-01-06 10:00:00,2006-01-06 10시,42.2
2006-01-06 11:00:00,2006-01-06 11시,42.2
2006-01-06 12:00:00,2006-01-06 12시,42.2
2006-01-06 13:00:00,2006-01-06 13시,42.2
2006-01-06 14:00:00,2006-01-06 14시,42.2
2006-01-06 15:00:00,2006-01-06 15시,42.2
2006-01-06 16:00:00,2006-01-06 16시,42.2
2006-01-06 17:00:00,2006-01-06 17시,42.2
2006-01-06 18:00:00,2006-01-06 18시,42.2
2006-01-06 19:00:00,2006-01-06 19시,42.2
2006-01-06 20:00:00,2006-01-06 20시,42.2
2006-01-06 21:00:00,2006-01-06 21시,42.2
2006-01-06 22:00:00,2006-01-06 22시,42.2
2006-01-06 23:00:00,2006-01-06 23시,42.2
2006-01-07 00:00:00,2006-01-07 00시,42.2
2006-01-07 01:00:00,2006-01-07 01시,42.2
2006-01-07 02:00:00,2006-01-07 02시,42.2
2006-01-07 03:00:00,2006-01-07 03시,42.1
2006-01-07 04:00:00,2006-01-07 04시,42.1
2006-01-07 05:00:00,2006-01-07 05시,42.1
2006-01-07 06:00:00,2006-01-07 06시,42.1
2006-01-07 07:00:00,2006-01-07 07시,42.1
2006-01-07 08:00:00,2006-01-07 08시,42.1
2006-01-07 09:00:00,2006-01-07 09시,42.1
2006-01-07 10:00:00,2006-01-07 10시,42.1
2006-01-07 11:00:00,2006-01-07 11시,42.1
2006-01-07 12:00:00,2006-01-07 12시,42.1
2006-01-07 13:00:00,2006-01-07 13시,42.1
2006-01-07 14:00:00,2006-01-07 14시,42.1
2006-01-07 15:00:00,2006-01-07 15시,42.1
2006-01-07 16:00:00,2006-01-07 16시,42.1
2006-01-07 17:00:00,2006-01-07 17시,42.1
2006-01-07 18:00:00,2006-01-07 18시,42.1
2006-01-07 19:00:00,2006-01-07 19시,42.1
2006-01-07 20:00:00,2006-01-07 20시,42.1
2006-01-07 21:00:00,2006-01-07 21시,42.1
2006-01-07 22:00:00,2006-01-07 22시,42.1
2006-01-07 23:00:00,2006-01-07 23시,42.1
2006-01-08 00:00:00,2006-01-08 00시,42.1
2006-01-08 01:00:00,2006-01-08 01시,42.1
2006-01-08 02:00:00,2006-01-08 02시,42.1
2006-01-08 03:00:00,2006-01-08 03시,42
2006-01-08 04:00:00,2006-01-08 04시,42
2006-01-08 05:00:00,2006-01-08 05시,42
2006-01-08 06:00:00,2006-01-08 06시,42
2006-01-08 07:00:00,2006-01-08 07시,42
2006-01-08 08:00:00,2006-01-08 08시,42
2006-01-08 09:00:00,2006-01-08 09시,42
2006-01-08 10:00:00,2006-01-08 10시,42
2006-01-08 11:00:00,2006-01-08 11시,42
2006-01-08 12:00:00,2006-01-08 12시,42
2006-01-08 13:00:00,2006-01-08 13시,42
2006-01-08 14:00:00,2006-01-08 14시,42
